CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,objid_GAL,ra_GAL,dec_GAL,u_GAL,g_GAL,r_GAL,i_GAL,z_GAL,redshift_GAL,redshift_err_GAL,separation_arcmin,u_g,g_r,r_i,i_z
iPTF14bdn,56,0.01603,0.00085,0.01636,1e-05,0.01558,1e-05,14.8532,0.280284,34.1062,0.281582,-9.0,0,0,-0.066181,0.045297,1.26874,0.17976,14.5345,0.0364852,0.0275536,0.000925913,-0.00053591,-4.68684e-05,-3.08216e-05,202.687,32.7618,-999,-999,-9.0,96.3614,250,0.009941,7.76651,0.036,56822.5,0.1388,29,9.14289,0.99984,0.1232,0.1161,0.0208,0.003,1.0,0.006,iPTF14bdn,1.2376650238377984e+18,202.6862469,32.76067962,20.96089,20.6216,20.46712,21.12704,21.44407,0.01557925,7.394287e-06,0.07721905655247013,0.3392899999999983,0.1544799999999995,-0.6599199999999996,-0.9769499999999987
2007ss,65,0.01652,0.00085,0.01619,1e-05,0.01557,1e-05,15.1607,0.345316,34.4137,0.34637,-9.0,0,0,0.24779,0.031616,-1.30935,0.09044,16.0119,0.0409359,0.00706726,0.000266459,-0.000466429,1.01148e-06,-7.14739e-06,190.275,50.3913,-999,-999,-9.0,-97.1613,250,0.0128674,10.31,0.074,54453.7,0.3152,35,35.8472,0.42855,0.0707,0.1126,-0.1606,0.005,1.0,0.027,2007ss,1.237661151913771e+18,190.2744354,50.39339672,15.8918,13.84986,12.96619,12.54129,12.15559,0.01557555,9.963856e-06,0.12764352518627842,2.0419400000000003,0.8836700000000004,0.42489999999999917,0.8105999999999991
ASASSN-15od,150,0.01698,0.00085,0.01678,1e-05,0.0176,1e-05,15.0879,0.226785,34.3409,0.228387,-9.0,0,0,-0.101117,0.035272,-1.11648,0.12954,15.0484,0.0423478,0.0171642,0.000669469,-0.000295421,-4.85478e-06,-1.99293e-05,35.8049,-4.5172,-999,-999,-9.0,-57.138,250,0.0255052,9.51783,0.001,57256.4,0.3173,8,7.74803,0.45846,0.0814,0.1096,0.0561,0.002,1.0,0.005,ASASSN-15od,1.2376793228616666e+18,35.8052148,-4.51708768,16.20949,14.93448,14.42105,14.14419,13.93756,0.01760164,1.294573e-05,0.01999901241516415,1.2750099999999982,0.5134300000000014,0.2768599999999992,0.48348999999999975
ASASSN-15od,150,0.01698,0.00085,0.01678,1e-05,0.0176,1e-05,15.0879,0.226785,34.3409,0.228387,-9.0,0,0,-0.101117,0.035272,-1.11648,0.12954,15.0484,0.0423478,0.0171642,0.000669469,-0.000295421,-4.85478e-06,-1.99293e-05,35.8049,-4.5172,-999,-999,-9.0,-57.138,250,0.0255052,9.51783,0.001,57256.4,0.3173,8,7.74803,0.45846,0.0814,0.1096,0.0561,0.002,1.0,0.005,ASASSN-15od,1.2376793228616666e+18,35.80270544,-4.518407133,20.59845,20.43697,20.46271,20.86345,20.64254,0.01736074,5.943503e-06,0.1499205636418813,0.16148000000000096,-0.02574000000000254,-0.400739999999999,-0.17982999999999905
1997Y,62,0.01705,0.00085,0.01661,1e-05,0.01608,1e-05,14.9443,0.212756,34.1973,0.214463,-9.0,0,0,-0.013591,0.028161,-1.06703,0.13548,15.0764,0.0317453,0.0167275,0.000489087,-0.000207292,2.90812e-06,-1.15152e-05,191.381,54.7381,-999,-999,-9.0,-127.659,250,0.0143306,10.0796,0.12,50489.1,0.4665,11,11.2737,0.42063,0.0671,0.1092,-0.0357,0.001,1.0,0.005,1997Y,1.237658917457822e+18,191.3828549,54.73759665,16.50017,14.72458,13.73746,13.21563,12.75493,0.01595161,5.859422e-06,0.07099597925573614,1.7755900000000011,0.9871199999999991,0.5218299999999996,0.9825300000000006
2001da,57,0.01718,0.00085,0.01658,1e-05,0.01782,1e-05,14.769,0.307813,34.022,0.308995,-9.0,0,0,0.12145,0.043848,-0.685997,0.075297,15.2016,0.0494315,0.0149059,0.000678636,-0.00059499,6.09914e-06,-2.23697e-05,358.387,8.1174,-999,-999,-9.0,-175.6,250,0.0498981,10.1168,-9.0,52108.2,0.0749,40,166.679,2.12599e-17,0.1062,0.1084,-0.0965,0.003,1.0,0.02,2001da,1.2376696817240637e+18,358.3839671,8.118080274,15.98802,14.32242,13.46465,13.00259,12.64933,0.01740235,6.69353e-06,0.18471661211400955,1.6656000000000013,0.8577699999999986,0.462060000000001,0.8153199999999998
2001da,63,0.01718,0.00085,0.01658,1e-05,0.01782,1e-05,14.9473,0.324206,34.2003,0.325329,-9.0,0,0,0.075615,0.035552,-0.56437,0.89098,15.2372,0.0584618,0.0144251,0.000776721,0.000823629,0.000177498,-1.9809e-05,358.387,8.1174,-999,-999,-9.0,-175.6,250,0.0498981,10.1168,0.042,52107.5,1.3563,3,1.7517,0.6255,0.1374,0.1084,-0.0796,0.002,1.0,0.015,2001da,1.2376696817240637e+18,358.3839671,8.118080274,15.98802,14.32242,13.46465,13.00259,12.64933,0.01740235,6.69353e-06,0.18471661211400955,1.6656000000000013,0.8577699999999986,0.462060000000001,0.8153199999999998
2006ef,57,0.01734,0.00085,0.01694,0.0,0.01781,0.0,15.108,0.218624,34.361,0.220285,-9.0,0,0,-0.05665,0.026478,-1.56473,0.067618,15.2474,0.0314984,0.0142906,0.000414586,-0.000266062,1.69389e-06,-9.32176e-06,31.0813,-8.7284,-999,-999,-9.0,-118.11,250,0.0204289,7.8489,-9.0,53969.6,0.0934,40,45.6148,0.25004,0.0602,0.1074,0.0313,0.003,1.0,0.007,2006ef,1.2376709567911035e+18,31.07905855,-8.735297447,15.87944,14.0301,13.24379,12.85312,12.58926,0.0178122,4.625533e-06,0.4346712663630832,1.8493400000000015,0.7863099999999985,0.3906700000000001,0.6545300000000012
2013gs,56,0.01776,0.00085,0.01748,2e-05,0.01681,2e-05,14.9691,0.319272,34.2221,0.320412,-9.0,0,0,0.036407,0.047984,-0.229314,0.15961,15.1955,0.039359,0.0149894,0.00054338,0.000799706,-2.82988e-05,-1.96274e-05,142.787,46.3848,-999,-999,-9.0,-82.5995,250,0.0167067,9.13025,0.025,56640.2,0.1269,28,25.901,0.57848,0.1233,0.1048,0.0276,0.003,1.0,0.02,2013gs,1.2376574013470804e+18,142.7828131,46.38426163,16.34548,15.01205,14.44333,14.12376,13.99637,0.01679677,1.624946e-05,0.1762761192919305,1.3334299999999981,0.5687200000000008,0.3195699999999988,0.4469599999999989
2008L,57,0.01778,0.00085,0.01734,9e-05,0.01789,9e-05,15.0834,0.208373,34.3364,0.210115,-9.0,0,0,-0.115456,0.039767,-1.58162,0.10566,15.0604,0.0959158,0.0169769,0.00149977,-0.000109653,-1.27115e-05,-4.75031e-05,49.3194,41.3827,-999,-999,-9.0,-129.753,250,0.13657,10.7703,-9.0,54493.6,0.1093,29,14.9901,0.98509,0.0782,0.1047,0.0482,0.001,1.0,0.003,2008L,1.2376610831990797e+18,49.32368414,41.42144667,18.29944,16.38978,15.46424,14.99185,14.64102,0.02083413,1.009681e-05,2.332781849967242,1.9096600000000024,0.925539999999998,0.47239000000000075,0.823220000000001
