objid,ra,dec,u,g,r,i,z,redshift,redshift_err
1.23768E+18,4.959079489,1.906438028,22.45594,22.57105,22.12563,21.6406,21.22933,1.01236,0.00011908
1.23768E+18,10.55541973,1.607667683,23.0424,23.26414,21.77371,21.13545,21.0516,1.00012,0.000187983
1.23768E+18,335.0245459,1.209678707,22.93038,22.56597,21.85774,21.25591,20.43112,1.01506,0.000169817
1.23768E+18,37.4479881,2.080414984,24.08181,23.00609,22.72351,22.18848,21.51181,1.054661,0.0001359
1.23768E+18,35.03234991,1.162139423,22.2935,22.64643,21.80375,21.03719,20.00357,1.028331,0.000104903
1.23768E+18,6.6300367,1.094970226,22.39155,22.15161,21.91924,21.28156,20.52496,1.13337,0.000118721
1.23768E+18,12.37260555,4.985069281,23.49602,22.08805,21.77002,21.12844,20.95484,1.170004,0.000116178
1.23767E+18,128.2759305,20.64418529,23.64736,22.46292,21.79646,21.26618,20.44662,1.048988,0.000224799
1.23767E+18,153.7077473,14.90010628,22.78607,23.26347,22.47392,21.96928,21.25335,1.047562,0.000130097
1.23767E+18,153.6975277,15.65563012,23.47384,23.15608,22.61887,22.29876,22.3915,1.008095,5.93E-05
1.23767E+18,156.7715913,17.84940205,22.39822,22.60741,22.09192,22.02617,22.65798,1.156223,9.86E-05
1.23767E+18,139.8928976,17.14618306,22.87557,22.49635,22.3658,22.12743,22.01389,1.015367,6.79E-05
1.23767E+18,139.2234654,16.5246905,23.00606,22.77387,22.47021,22.01147,21.75856,1.034153,6.77E-05
1.23767E+18,132.4839116,16.16851503,24.5458,22.24716,21.80219,20.45048,19.53774,1.033843,0.000195946
1.23767E+18,255.0214536,45.22386158,23.73354,23.93772,21.2461,20.22497,19.12584,1.007251,0.000374173
1.23767E+18,153.7016644,17.13298814,23.25854,22.38361,21.99306,22.25026,21.24229,1.184014,0.000123544
1.23767E+18,152.6396191,19.48144852,23.24715,22.55773,22.23395,21.67219,21.94704,1.007154,0.000157254
1.23767E+18,152.2606864,18.61834499,22.27563,22.81408,22.29634,21.68418,21.14757,1.028809,5.90E-05
1.23767E+18,153.7104672,21.57444779,22.47935,22.57388,22.10039,21.71942,20.89361,1.065596,0.000138357
1.23767E+18,152.2755104,20.94429446,22.41887,22.45764,21.8279,21.37359,21.11062,1.03608,0.000132829
1.23767E+18,133.8943654,18.23797415,22.3599,22.26035,21.78749,21.79313,22.72017,1.209011,0.000103417
